Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return_1,return_5,range_pct,sma_10,sma_20,ema_12,ema_26,macd,macd_signal,rsi_14,volume_change
2021-05-21,28269.609375,28411.560546875,28193.029296875,28317.830078125,58700000,0.0,0.0,0.007814724337814605,0.008309196120047657,0.007717090235978615,28249.9119140625,28649.53818359375,28356.265740311443,28616.038341017487,-259.7726007060446,-206.78775714784652,43.51033907222702,0.03345070422535201
2021-05-24,28212.3203125,28584.1796875,28212.3203125,28364.609375,54700000,0.0,0.0,0.0016519379043500315,0.019399194724978974,0.013109976946403833,28134.5388671875,28612.749609375,28357.549376417373,28597.41397316434,-239.86459674696744,-213.40312506767071,43.34341572377646,-0.0681431005110733
2021-05-25,28516.990234375,28576.970703125,28443.740234375,28553.98046875,54000000,0.0,0.0,0.006676315941685607,0.005179760431267111,0.0046659158044816155,28129.0779296875,28615.02109375,28387.769544468545,28594.196676541058,-206.4271320725129,-212.00792646863917,47.47710940051033,-0.012797074954296161
2021-05-26,28396.619140625,28710.830078125,28396.619140625,28642.189453125,64200000,0.0,0.0,0.003089200977479667,0.021314030085331837,0.01097021364285816,28178.5458984375,28587.7220703125,28426.91106887723,28597.751697028758,-170.8406281515272,-203.77446680521678,42.66134191416561,0.18888888888888888
2021-05-27,28543.3203125,28587.2109375,28360.560546875,28549.009765625,138200000,0.0,0.0,-0.0032532320077169885,0.01604227187191376,0.007938993067910289,28288.6458984375,28564.141015625,28445.6954837615,28594.141183591444,-148.4456998299429,-192.708713410162,41.50814323029771,1.1526479750778815
2021-05-28,28912.5390625,29194.109375,28899.66015625,29149.41015625,80600000,0.0,0.0,0.021030515438329678,0.029365953388052146,0.010101378284214316,28395.13984375,28565.3,28553.95927952896,28635.27221860319,-81.31293907422878,-170.42955854297537,46.45406686385067,-0.41678726483357453
2021-05-31,29019.44921875,29147.7109375,28791.599609375,28860.080078125,53800000,0.0,0.0,-0.009925760987069765,0.017467919144400268,0.012339235621003032,28498.66484375,28558.70947265625,28601.054787005276,28651.924652641843,-50.86986563656683,-146.51761996169367,52.74448845129286,-0.33250620347394544
2021-06-01,28998.650390625,29075.470703125,28611.25,28814.33984375,47400000,0.0,0.0,-0.001584896308367112,0.009118146427428586,0.016110752689192435,28539.41484375,28546.7279296875,28633.86787265831,28663.955407538742,-30.08753488043294,-123.23160294544152,58.00248735112107,-0.1189591078066915
2021-06-02,28730.810546875,29003.55078125,28565.830078125,28946.140625,71000000,0.0,0.0,0.004574138500646141,0.01061200898668857,0.015121902045447553,28629.583984375,28553.40341796875,28681.90983455703,28684.858016239577,-2.9481816825464193,-99.1749186928625,70.81492794422455,0.4978902953586497
2021-06-03,28890.390625,29157.16015625,28879.150390625,29058.109375,58500000,0.0,0.0,0.0038681754314182637,0.017832478728841528,0.009567372812774403,28725.569921875,28539.7404296875,28739.78668693287,28712.506265036645,27.28042189622647,-73.88385057504472,65.83563692549703,-0.176056338028169
2021-06-04,28901.419921875,28991.240234375,28764.6796875,28941.51953125,55800000,0.0,0.0,-0.004012299707644051,-0.0071318981717174434,0.007828218785484576,28787.9388671875,28518.925390625,28770.82250913551,28729.47021068208,41.352298453428375,-50.836620769350105,69.0486550382509,-0.0461538461538461
2021-06-07,29214.0,29241.19921875,28973.05078125,29019.240234375,51000000,0.0,0.0,0.002685439616986196,0.005514889626749175,0.009240367264417983,28853.401953125,28493.97041015625,28809.040620710817,28750.934656881556,58.10596382926087,-29.04810384962791,62.61712780058476,-0.08602150537634412
2021-06-08,29046.029296875,29140.6796875,28897.640625,28963.560546875,50400000,0.0,0.0,-0.001918716239650009,0.005178695883166995,0.008391201147616587,28894.3599609375,28511.7189453125,28832.812917043768,28766.684722806996,66.12819423677138,-10.012844232348055,71.67561631922854,-0.0117647058823529
2021-06-09,28901.560546875,28932.029296875,28801.830078125,28860.80078125,50400000,0.0,0.0,-0.003547898244716574,-0.002948228741633807,0.004511282266103529,28916.22109375,28547.38349609375,28837.118742306266,28773.656282691663,63.46245961460227,4.682216537042009,67.57750877016056,0.0
2021-06-10,28799.740234375,29007.529296875,28799.740234375,28958.560546875,53300000,0.0,0.0,0.003387285278948715,-0.003425853583256422,0.007175393340551352,28957.176171875,28622.91103515625,28855.802096855303,28787.352894853393,68.44920200190973,17.435613630015553,65.64826580882493,0.05753968253968256
2021-06-11,29030.0390625,29080.890625,28839.5390625,28948.73046875,71100000,0.0,0.0,-0.00033945327182571816,0.0002491554561332432,0.008337207144905292,28937.108203125,28666.1240234375,28870.098769454486,28799.306789216105,70.79198023838035,28.106886951688512,64.52791913680639,0.33395872420262673
2021-06-14,29153.109375,29208.349609375,29026.26953125,29161.80078125,45000000,0.0,0.0,0.007360264476192091,0.004912621616679269,0.006243787188960944,28967.2802734375,28732.97255859375,28914.97600203841,28826.15819603343,88.8178060049795,40.24907076234671,64.9412153312567,-0.36708860759493667
2021-06-15,29256.029296875,29480.849609375,29235.7109375,29441.30078125,53000000,0.0,0.0,0.00958445612109493,0.01649452710076238,0.008326353298598788,29029.9763671875,28784.69560546875,28995.94904499404,28871.724313456878,124.22473153716055,57.044202917309484,67.95489433186263,0.1777777777777778
2021-06-16,29306.140625,29434.099609375,29263.720703125,29291.009765625,52400000,0.0,0.0,-0.005104768187440767,0.014906342607599932,0.0058167645162561545,29064.46328125,28847.0236328125,29041.343002014186,28902.78249509896,138.56050691522614,73.34746371689282,66.25452460615602,-0.01132075471698113
2021-06-17,29149.33984375,29197.6796875,28875.390625,29018.330078125,56900000,0.0,0.0,-0.009309330394611681,0.002063967618599394,0.01110639591018204,29060.4853515625,28893.02763671875,29037.80255218508,28911.341575323113,126.46097686196663,83.97016634590759,46.64708932801901,0.08587786259541974
2021-06-18,29136.740234375,29136.740234375,28957.98046875,28964.080078125,90200000,0.0,0.0,-0.001869507992153352,0.0005302342840758367,0.006171774319875864,29062.74140625,28925.34013671875,29026.460633098915,28915.248131086217,111.21250201269868,89.41863347926581,53.02388762186867,0.585237258347979
2021-06-21,28506.83984375,28506.83984375,27795.859375,28010.9296875,75800000,0.0,0.0,-0.032908015309102256,-0.039465021463625405,0.02538225173823053,28961.9103515625,28907.65615234375,28870.225103006775,28848.26157970946,21.963523297315987,75.92761144287584,34.70889558008996,-0.15964523281596454
2021-06-22,28513.0703125,28895.259765625,28494.4609375,28884.130859375,67800000,0.0,0.0,0.03117358765370315,-0.018924772584431482,0.01387609099530553,28953.9673828125,28924.163671875,28872.364450140347,28850.918563388386,21.445886751960643,65.03126650469281,49.07955077183911,-0.10554089709762537
2021-06-23,28886.919921875,29007.830078125,28860.060546875,28874.890625,51100000,0.0,0.0,-0.00031990695582939654,-0.014206377450098895,0.005117578908578117,28955.3763671875,28935.79873046875,28872.753092426447,28852.694271655913,20.058820770533202,56.03677735786089,47.19482072904518,-0.2463126843657817
2021-06-24,28811.8203125,28935.33984375,28758.369140625,28875.23046875,44600000,0.0,0.0,1.1769525100957523e-05,-0.004931352320748261,0.006128806601787134,28947.043359375,28952.109765625,28873.134227245453,28854.363619588807,18.77060765664646,48.58354341761801,48.947616478453114,-0.12720156555773
2021-06-25,29137.30078125,29174.169921875,28992.740234375,29066.1796875,51600000,0.0,0.0,0.006612907175118643,0.003525042366255171,0.006241951623866978,28958.78828125,28947.9482421875,28902.833528823077,28870.05369869334,32.77983012973709,45.42280076004183,50.71933423645453,0.15695067264573992
2021-06-28,29112.66015625,29121.279296875,28984.9296875,29048.01953125,47700000,0.0,0.0,-0.0006247864853670126,0.037024470637716966,0.004693938229706656,28947.41015625,28957.34521484375,28925.16983688876,28883.236352956796,41.933483931963565,44.72493739442618,51.30936787111675,-0.07558139534883723
2021-06-29,28927.439453125,28951.6796875,28735.55078125,28812.609375,59700000,0.0,0.0,-0.00810417233425309,-0.002476151514588021,0.007501191698296156,28884.541015625,28957.25869140625,28907.85284275203,28878.004724959996,29.84811779203301,41.74957347394755,49.28240296415214,0.2515723270440251
2021-06-30,28896.310546875,28998.990234375,28779.759765625,28791.529296875,54000000,0.0,0.0,-0.0007316268322191677,-0.002886983338140303,0.007614408616140964,28834.59296875,28949.528125,28889.9569126171,28871.59913769444,18.35777492266061,37.07121376369016,47.45468615137355,-0.09547738693467334
2021-07-01,28832.41015625,28833.169921875,28624.80078125,28707.0390625,45900000,0.0,0.0,-0.002934551808756125,-0.0058247641151132346,0.007258468564847308,28803.4638671875,28931.974609375,28861.815704906778,28859.40950249485,2.4062024119266425,30.138211493337458,46.398913731771366,-0.15000000000000002
2021-07-02,28719.240234375,28849.3203125,28688.630859375,28783.279296875,47500000,0.0,0.0,0.002655802787915995,-0.009732974669067418,0.005582736124943416,28785.3837890625,28924.06259765625,28849.733180594198,28853.77022800449,-4.037047410292871,23.303159712611393,44.12047916442928,0.034858387799564294
2021-07-05,28709.5703125,28731.0703125,28581.080078125,28598.189453125,38500000,0.0,0.0,-0.006430464084406617,-0.015485740005134252,0.0052447458123475775,28844.109765625,28903.01005859375,28811.034145598936,28834.83831875416,-23.804173155222088,13.881693139044698,36.508372083428924,-0.18947368421052635
2021-07-06,28677.94921875,28748.23046875,28587.609375,28643.2109375,41700000,0.0,0.0,0.0015742774362970113,-0.0058793160763489505,0.005607649718478773,28820.0177734375,28886.992578125,28785.21519050679,28820.643697920517,-35.42850741372604,4.019653028490551,39.27237701688937,0.08311688311688314
